"","state","year","homeschool_students"
"165","GEORGIA","2022-23",77763
"166","HAWAII","2022-23",4455
"167","MISSISSIPPI","2022-23",21943
"168","MONTANA","2022-23",7799
"169","NEBRASKA","2022-23",11647
"170","NEW HAMPSHIRE","2022-23",3713
"171","NEW MEXICO","2022-23",10832
"172","OHIO","2022-23",47468
"173","VERMONT","2022-23",3503
"174","WISCONSIN","2022-23",28853
